user_id,page
17,search_page
5,search_page
40,search_page
6,search_page
13,search_page
12,search_page
13,search_page
27,search_page
24,search_page
3,search_page
24,search_page
5,search_page
23,search_page
24,search_page
37,search_page
18,search_page
22,search_page
38,search_page
35,search_page
7,search_page
32,search_page
14,search_page
31,search_page
34,search_page
35,search_page
32,search_page
4,search_page
4,search_page
11,search_page
9,search_page
33,search_page
9,search_page
19,search_page
11,search_page
23,search_page
5,search_page
27,search_page
1,search_page
1,search_page
34,search_page
10,search_page
34,search_page
32,search_page
24,search_page
32,search_page
30,search_page
31,search_page
18,search_page
33,search_page
18,search_page
6,search_page
15,search_page
11,search_page
22,search_page
19,search_page
11,search_page
7,search_page
40,search_page
34,search_page
23,search_page
