user_id,page
90,checkout_page
88,checkout_page
67,checkout_page
61,checkout_page
76,checkout_page
55,checkout_page
59,checkout_page
26,checkout_page
8,checkout_page
19,checkout_page
71,checkout_page
22,checkout_page
89,checkout_page
76,checkout_page
45,checkout_page
81,checkout_page
30,checkout_page
32,checkout_page
33,checkout_page
90,checkout_page
40,checkout_page
94,checkout_page
5,checkout_page
3,checkout_page
30,checkout_page
49,checkout_page
37,checkout_page
50,checkout_page
19,checkout_page
36,checkout_page
62,checkout_page
15,checkout_page
49,checkout_page
39,checkout_page
82,checkout_page
64,checkout_page
58,checkout_page
81,checkout_page
89,checkout_page
84,checkout_page
