user_id,page
85,payment_confirmation_page
41,payment_confirmation_page
10,payment_confirmation_page
21,payment_confirmation_page
60,payment_confirmation_page
100,payment_confirmation_page
70,payment_confirmation_page
100,payment_confirmation_page
6,payment_confirmation_page
92,payment_confirmation_page
64,payment_confirmation_page
3,payment_confirmation_page
59,payment_confirmation_page
89,payment_confirmation_page
36,payment_confirmation_page
52,payment_confirmation_page
31,payment_confirmation_page
68,payment_confirmation_page
62,payment_confirmation_page
24,payment_confirmation_page
